,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
35,2021-01-04,"1,999.98","2,004.99","1,983.81","1,997.00",-1.0,-0.05,"43,514","868,692",1.06,0.35
34,2021-01-05,"1,990.00","2,059.45","1,982.46","2,059.45",62.45,3.13,"52,116","1,059,256",3.86,0.41
33,2021-01-06,"2,064.80","2,125.00","2,036.03","2,100.00",40.55,1.97,"47,410","988,259",4.32,0.38
32,2021-01-07,"2,097.00","2,140.00","2,075.00","2,140.00",40.0,1.9,"37,931","799,118",3.1,0.3
31,2021-01-08,"2,142.00","2,150.88","2,063.02","2,090.00",-50.0,-2.34,"53,862","1,134,520",4.11,0.43
30,2021-01-11,"2,090.00","2,150.50","2,058.60","2,099.73",9.73,0.47,"51,080","1,076,857",4.4,0.41
29,2021-01-12,"2,088.00","2,160.90","2,085.00","2,160.90",61.17,2.91,"41,059","880,056",3.61,0.33
28,2021-01-13,"2,164.00","2,173.33","2,135.00","2,164.00",3.1,0.14,"34,390","741,833",1.77,0.27
27,2021-01-14,"2,156.00","2,163.00","2,116.11","2,134.00",-30.0,-1.39,"36,152","772,209",2.17,0.29
26,2021-01-15,"2,115.00","2,134.35","2,029.00","2,082.00",-52.0,-2.44,"59,509","1,237,210",4.94,0.47
25,2021-01-18,"2,061.06","2,091.48","2,040.27","2,063.00",-19.0,-0.91,"39,144","807,672",2.46,0.31
24,2021-01-19,"2,073.11","2,096.30","2,006.85","2,009.41",-53.59,-2.6,"46,345","947,928",4.34,0.37
23,2021-01-20,"2,008.00","2,055.49","1,982.50","2,040.63",31.22,1.55,"45,082","912,645",3.63,0.36
22,2021-01-21,"2,048.00","2,090.02","2,041.00","2,070.00",29.37,1.44,"38,310","795,346",2.4,0.31
21,2021-01-22,"2,069.00","2,100.00","2,060.10","2,079.95",9.95,0.48,"29,248","609,026",1.93,0.23
20,2021-01-25,"2,083.00","2,179.50","2,083.00","2,175.00",95.05,4.57,"55,957","1,202,947",4.64,0.45
19,2021-01-26,"2,185.00","2,187.00","2,125.11","2,141.89",-33.11,-1.52,"31,747","682,017",2.85,0.25
18,2021-01-27,"2,141.89","2,141.89","2,085.00","2,089.00",-52.89,-2.47,"37,120","780,945",2.66,0.3
17,2021-01-28,"2,080.00","2,109.66","2,060.02","2,088.00",-1.0,-0.05,"35,129","733,708",2.38,0.28
16,2021-01-29,"2,101.19","2,149.48","2,090.22","2,116.18",28.18,1.35,"33,701","716,618",2.84,0.27
15,2021-02-01,"2,130.00","2,160.00","2,095.00","2,109.32",-6.86,-0.32,"29,341","621,964",3.07,0.23
14,2021-02-02,"2,112.22","2,149.99","2,102.10","2,145.00",35.68,1.69,"34,582","737,223",2.27,0.28
13,2021-02-03,"2,150.00","2,198.27","2,140.00","2,189.91",44.91,2.09,"38,714","838,405",2.72,0.31
12,2021-02-04,"2,191.00","2,330.00","2,191.00","2,320.85",130.94,5.98,"63,851","1,459,693",6.35,0.51
11,2021-02-05,"2,325.00","2,364.60","2,291.00","2,313.00",-7.85,-0.34,"39,729","925,357",3.17,0.32
10,2021-02-08,"2,337.00","2,378.88","2,313.00","2,368.80",55.8,2.41,"35,786","842,076",2.85,0.28
9,2021-02-09,"2,368.80","2,456.43","2,350.00","2,456.43",87.63,3.7,"33,297","797,293",4.49,0.27
8,2021-02-10,"2,485.00","2,601.20","2,485.00","2,601.00",144.57,5.89,"61,371","1,567,593",4.73,0.49
7,2021-02-18,"2,587.98","2,627.88","2,465.00","2,471.00",-130.0,-5.0,"65,912","1,670,414",6.26,0.52
6,2021-02-19,"2,451.16","2,496.66","2,381.60","2,460.00",-11.0,-0.45,"59,385","1,452,516",4.66,0.47
5,2021-02-22,"2,455.00","2,455.00","2,278.22","2,288.02",-171.98,-6.99,"78,935","1,849,878",7.19,0.63
4,2021-02-23,"2,265.14","2,344.89","2,265.00","2,307.00",18.98,0.83,"57,455","1,331,611",3.49,0.46
3,2021-02-24,"2,307.99","2,318.00","2,160.50","2,189.00",-118.0,-5.11,"82,116","1,819,503",6.83,0.65
2,2021-02-25,"2,209.00","2,224.50","2,121.21","2,150.00",-39.0,-1.78,"59,726","1,298,215",4.72,0.48
1,2021-02-26,"2,100.00","2,179.95","2,067.30","2,122.78",-27.22,-1.27,"66,525","1,409,702",5.24,0.53
0,2021-03-01,"2,179.00","2,179.00","2,120.00","2,158.00",35.22,1.66,"44,916","968,695",2.78,0.36
